date,sessions
2026-06-01,1207
2026-06-02,1205
2026-06-03,1215
2026-06-04,1238
2026-06-05,1234
2026-06-06,1231
2026-06-07,1255
2026-06-08,1266
2026-06-09,1259
2026-06-10,1267
2026-06-11,1260
2026-06-12,1253
2026-06-13,1257
2026-06-14,1228
2026-06-15,1202
2026-06-16,1194
2026-06-17,1179
2026-06-18,1183
2026-06-19,1170
2026-06-20,1149
2026-06-21,1171
2026-06-22,1167
2026-06-23,1168
2026-06-24,1147
2026-06-25,1139
2026-06-26,1140
2026-06-27,1123
2026-06-28,1129
2026-06-29,1120
2026-06-30,1115
2026-07-01,1106
2026-07-02,1134
2026-07-03,1134
2026-07-04,1118
2026-07-05,1130
2026-07-06,1112
2026-07-07,1115
2026-07-08,1086
2026-07-09,1066
2026-07-10,1069
2026-07-11,1080
2026-07-12,1082
2026-07-13,1081
2026-07-14,1076
2026-07-15,1054
2026-07-16,1043
2026-07-17,1036
2026-07-18,1052
2026-07-19,1057
2026-07-20,1031
2026-07-21,1036
2026-07-22,1030
2026-07-23,1020
2026-07-24,1029
2026-07-25,1044
2026-07-26,1058
2026-07-27,1046
2026-07-28,1041
2026-07-29,1046
2026-07-30,1061
2026-07-31,1054
2026-08-01,1051
2026-08-02,1034
2026-08-03,1016
2026-08-04,1028
2026-08-05,1036
2026-08-06,1029
2026-08-07,1014
2026-08-08,1009
2026-08-09,985
2026-08-10,965
2026-08-11,992
2026-08-12,977
2026-08-13,984
2026-08-14,928
2026-08-15,915
2026-08-16,912
2026-08-17,894
2026-08-18,877
2026-08-19,840
2026-08-20,828
2026-08-21,834
2026-08-22,825
2026-08-23,804
2026-08-24,775
2026-08-25,735
2026-08-26,754
2026-08-27,745
2026-08-28,748
2026-08-29,715
